"jobcountry","country","month","posted_wage_growth_yoy","posted_wage_growth_yoy_3moavg"
"DE","Germany",Jan 2019,0.0294884799304449,NA
"DE","Germany",Feb 2019,0.0357142857142858,NA
"DE","Germany",Mar 2019,0.036144578313253,0.0337824479859946
"DE","Germany",Apr 2019,0.0177521008403361,0.029870321622625
"DE","Germany",May 2019,0.025242718446602,0.0263797992000637
"DE","Germany",Jun 2019,0.025242718446602,0.02274584591118
"DE","Germany",Jul 2019,0.0181818181818181,0.0228890850250073
"DE","Germany",Aug 2019,0.0238095238095237,0.0224113534793146
"DE","Germany",Sep 2019,0.00416264478764483,0.0153846622596622
"DE","Germany",Oct 2019,0.0167315307933906,0.0149012331301864
"DE","Germany",Nov 2019,0.0233663366336634,0.0147535040715663
"DE","Germany",Dec 2019,0.0144927536231885,0.0181968736834142
"DE","Germany",Jan 2020,0.020408163265306,0.0194224178407193
"DE","Germany",Feb 2020,0.0173053152039555,0.01740207736415
"DE","Germany",Mar 2020,0.0109449760765551,0.0162194848486055
"DE","Germany",Apr 2020,0.0212765957446808,0.0165089623417305
"DE","Germany",May 2020,0.00970873786407767,0.0139767698951045
"DE","Germany",Jun 2020,0.0169491525423728,0.0159781620503771
"DE","Germany",Jul 2020,0.00854950675922539,0.0117357990552253
"DE","Germany",Aug 2020,0.0153846153846153,0.0136277582287379
"DE","Germany",Sep 2020,0.0118489400533482,0.011927687399063
"DE","Germany",Oct 2020,0.0190217391304348,0.0154184315227995
"DE","Germany",Nov 2020,0.0188679245283019,0.016579534570695
"DE","Germany",Dec 2020,0,0.0126298878862456
"DE","Germany",Jan 2021,0.0150000000000001,0.0112893081761007
"DE","Germany",Feb 2021,0.0165696372592925,0.0105232124197642
"DE","Germany",Mar 2021,0.01875,0.0167732124197642
"DE","Germany",Apr 2021,0.0215536596317916,0.0189577656303614
"DE","Germany",May 2021,0.0262531328320803,0.0221855974879573
"DE","Germany",Jun 2021,0.0217391304347827,0.0231819742995515
"DE","Germany",Jul 2021,0.03,0.0259974210889543
"DE","Germany",Aug 2021,0.0309278350515463,0.0275556551621097
"DE","Germany",Sep 2021,0.0303030303030303,0.0304102884515255
"DE","Germany",Oct 2021,0.0344827586206897,0.0319045413250888
"DE","Germany",Nov 2021,0.0287037037037037,0.0311631642091412
"DE","Germany",Dec 2021,0.0333333333333334,0.0321732652192423
"DE","Germany",Jan 2022,0.04,0.0340123456790124
"DE","Germany",Feb 2022,0.0416666666666667,0.0383333333333334
"DE","Germany",Mar 2022,0.0414386239249414,0.0410350968638694
"DE","Germany",Apr 2022,0.0380910206161245,0.0403987704025775
"DE","Germany",May 2022,0.0454545454545454,0.0416613966652037
"DE","Germany",Jun 2022,0.0515030946065429,0.0450162202257376
"DE","Germany",Jul 2022,0.0479967948717949,0.0483181449776277
"DE","Germany",Aug 2022,0.0653851540616246,0.0549616811799875
"DE","Germany",Sep 2022,0.0769230769230769,0.0634350086188321
"DE","Germany",Oct 2022,0.0714285714285714,0.0712456008044243
"DE","Germany",Nov 2022,0.059568794909268,0.0693068144203054
"ES","Spain",Jan 2019,0,NA
"ES","Spain",Feb 2019,0.0196078431372548,NA
"ES","Spain",Mar 2019,0,0.00653594771241828
"ES","Spain",Apr 2019,0.016884531590414,0.012164124909223
"ES","Spain",May 2019,0.0185185185185186,0.0118010167029775
"ES","Spain",Jun 2019,0.0267857142857142,0.0207295881315489
"ES","Spain",Jul 2019,0.0168079096045197,0.0207040474695842
"ES","Spain",Aug 2019,0.0384615384615385,0.0273517207839242
"ES","Spain",Sep 2019,0.0175438596491229,0.024271102571727
"ES","Spain",Oct 2019,0.0287784679089027,0.028261288673188
"ES","Spain",Nov 2019,0.0112359550561798,0.0191860942047351
"ES","Spain",Dec 2019,0.00690448518579145,0.0156396360502913
"ES","Spain",Jan 2020,0,0.00604681341399042
"ES","Spain",Feb 2020,0.0112359550561798,0.00604681341399042
"ES","Spain",Mar 2020,0.00389704432061211,0.0050443331255973
"ES","Spain",Apr 2020,0.037037037037037,0.017390012137943
"ES","Spain",May 2020,0.0116731517509727,0.0175357443695406
"ES","Spain",Jun 2020,0,0.0162367295960032
"ES","Spain",Jul 2020,0.00763358778625944,0.00643557984574405
"ES","Spain",Aug 2020,0,0.00254452926208648
"ES","Spain",Sep 2020,0,0.00254452926208648
"ES","Spain",Oct 2020,0,0
"ES","Spain",Nov 2020,0,0
"ES","Spain",Dec 2020,0,0
"ES","Spain",Jan 2021,0.0283970276008492,0.00946567586694972
"ES","Spain",Feb 2021,0.0333333333333334,0.0205767869780609
"ES","Spain",Mar 2021,0,0.0205767869780609
"ES","Spain",Apr 2021,0.00975632971635254,0.014363221016562
"ES","Spain",May 2021,0,0.00325210990545085
"ES","Spain",Jun 2021,0.0083333333333333,0.00602988768322861
"ES","Spain",Jul 2021,0.0138888888888888,0.00740740740740738
"ES","Spain",Aug 2021,0.00759144237405107,0.00993788819875774
"ES","Spain",Sep 2021,0.0212228452370009,0.0142343921666469
"ES","Spain",Oct 2021,0.00727272727272732,0.0120290049612598
"ES","Spain",Nov 2021,0.000634517766497478,0.00971003009207524
"ES","Spain",Dec 2021,0.00126903553299496,0.00305876019073992
"ES","Spain",Jan 2022,0.00877893056664014,0.00356082795537752
"ES","Spain",Feb 2022,0,0.0033493220332117
"ES","Spain",Mar 2022,0.0192307692307692,0.00933656659913643
